dataset,accuracy,precision,recall,f1_binary,f1_macro,pred_real_count,pred_fake_count,TN,FP,FN,TP,prob_fake_mean,prob_fake_std,roc_auc,roc_auc_excluding_fake_only,excluded_from_auc
Celeb,0.8637970791698694,0.8637970791698694,1.0,0.9269218079841637,0.46346090399208184,0,6505,0,886,0,5619,0.5775465792878061,0.001890152713530624,0.5677721146850596,,
DeepfakeTIMIT,1.0,1.0,1.0,1.0,1.0,0,636,0,0,0,636,0.5778550758595776,0.0005869010764481496,,,
DFD,0.8934859154929577,0.8934859154929577,1.0,0.9437470943747095,0.47187354718735475,0,3408,0,363,0,3045,0.5755447303289141,0.004430141731493121,0.5107180176145694,,
WildDeepfake,0.47976483456385016,0.47976483456385016,1.0,0.6484338907881364,0.3242169453940682,0,7314,0,3805,0,3509,0.575892154990243,0.003253474117023877,0.45535063019852456,,
Overall,0.7170688014331299,0.7170688014331299,1.0,0.8352243088158581,0.41761215440792904,0,17863,0,5054,0,12809,0.5764982359667159,0.0031908260751130893,0.541589809763744,0.541589809763744,DeepfakeTIMIT
