dataset,accuracy,precision,recall,f1_binary,f1_macro
Celeb,0.8637970791698694,0.8637970791698694,1.0,0.9269218079841637,0.46346090399208184
DeepfakeTIMIT,1.0,1.0,1.0,1.0,1.0
DFD,0.8934859154929577,0.8934859154929577,1.0,0.9437470943747095,0.47187354718735475
WildDeepfake,0.47976483456385016,0.47976483456385016,1.0,0.6484338907881364,0.3242169453940682
Overall,0.7170688014331299,0.7170688014331299,1.0,0.8352243088158581,0.41761215440792904
