dataset,accuracy,precision,recall,f1_macro,f1_binary
Celeb,0.8591852421214451,0.8633905115129037,0.99430503648336,0.46429136548351135,0.9242349048800662
DeepfakeTIMIT,1.0,1.0,1.0,1.0,1.0
DFD,0.89231220657277,0.8935920047031158,0.9983579638752053,0.4742471761618501,0.9430742981231581
WildDeepfake,0.46527208094066175,0.3890728476821192,0.20091194072385296,0.4223832227369081,0.26498778425108066
Overall,0.7092313721099479,0.8090252414576738,0.7782028261378718,0.6515648938843795,0.7933147632311978
