dataset,accuracy,precision,recall,f1_macro,f1_binary,auc
Celeb,0.8614911606456572,0.8639308855291576,0.996618615411995,0.4671721118066686,0.9255433435253284,0.502038793725095
DFD,0.8934859154929577,0.8934859154929577,1.0,0.47187354718735475,0.9437470943747095,0.4889811686049931
DeepfakeTIMIT,0.9984276729559748,1.0,0.9984276729559748,0.49960660896931547,0.9992132179386309,
WildDeepfake,0.5283018867924528,0.5076603479615684,0.5571387859789114,0.5282832278481013,0.5312500000000001,0.5414728936180252
Overall,0.7360465767228349,0.7815108514190318,0.8771176516511827,0.6372578388673082,0.8265587640242781,0.7209275742042156
