dataset,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_macro_mean,f1_macro_std,f1_binary_mean,f1_binary_std
Celeb,0.8627209838585703,0.0015218285836452016,0.8638183545425291,3.008792056004073e-05,0.9984872753158924,0.0021393157644013627,0.46479718490246336,0.0018897865866019429,0.926283111526781,0.0009032531922700805
DFD,0.8934859154929577,0.0,0.8934859154929577,0.0,1.0,0.0,0.4718735471873547,0.0,0.9437470943747096,0.0
DeepfakeTIMIT,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Overall,0.7359346134467895,0.001900079801654495,0.7715719913722263,0.010309646175501537,0.8978062299945351,0.018327695476144358,0.6197684110174351,0.019737878878658847,0.8297986799735271,0.0018670287507333192
WildDeepfake,0.5267979217938201,0.005994068968220601,0.5058106502667984,0.005668016790995335,0.6293815901966372,0.06347638531597673,0.5228359149796764,0.011007476304713645,0.5599993852429375,0.021764350484100595
