dataset,accuracy,precision,recall,f1_macro,f1_binary,auc
Celeb,0.8616448885472713,0.8638396299151889,0.996974550631785,0.466133465812845,0.9256444150693985,0.5075859195883685
DFD,0.8934859154929577,0.8934859154929577,1.0,0.47187354718735475,0.9437470943747095,0.49088918744091153
DeepfakeTIMIT,1.0,1.0,1.0,1.0,1.0,
WildDeepfake,0.5310363686081487,0.5098185433755904,0.5844970076944999,0.5306193761184896,0.5446096654275092,0.543253934223579
Overall,0.7372781727593349,0.7788620120945574,0.8848465922398314,0.6337251990187734,0.8284784912832133,0.7322835463032507
