dataset,accuracy,precision,recall,f1_macro,f1_binary,pred_real_count,pred_fake_count,TN,FP,FN,TP,prob_fake_mean,prob_fake_std,roc_auc,roc_auc_excluding_fake_only,excluded_from_auc
Celeb,0.8591852421214451,0.8633905115129037,0.99430503648336,0.46429136548351135,0.9242349048800662,34,6471,2,884,32,5587,0.8174785976681134,0.05937162631915211,0.515031835312068,,
DeepfakeTIMIT,1.0,1.0,1.0,1.0,1.0,0,636,0,0,0,636,0.8892846028759794,0.017005424389744155,,,
DFD,0.89231220657277,0.8935920047031158,0.9983579638752053,0.4742471761618501,0.9430742981231581,6,3402,1,362,5,3040,0.7808719659005532,0.06376825512250398,0.49062365708133726,,
WildDeepfake,0.46527208094066175,0.3890728476821192,0.20091194072385296,0.4223832227369081,0.26498778425108066,5502,1812,2698,1107,2804,705,0.32537288753144095,0.23229714882073652,0.4509438279415911,,
Overall,0.7092313721099479,0.8090252414576738,0.7782028261378718,0.6515648938843795,0.7933147632311978,5542,12321,2701,2353,2841,9968,0.6115586544507778,0.2852302965706654,0.7001050366385597,0.7001050366385597,DeepfakeTIMIT
