dataset,accuracy,precision,recall,f1_macro,f1_binary,auc
Celeb,0.8621060722521138,0.8639025893958077,0.99750845346147,0.46627757424317556,0.9259106302139258,0.5067685943009388
DFD,0.8928990610328639,0.8934233705226071,0.9993431855500821,0.4717098124321811,0.9434196248643621,0.4989039521954882
DeepfakeTIMIT,1.0,1.0,1.0,1.0,1.0,
WildDeepfake,0.4943943122778234,0.4772344013490725,0.5645483043602166,0.4932602752455837,0.5172323759791123,0.4905656901026795
Overall,0.7223310754072664,0.767318302567945,0.8794597548598642,0.608668329390298,0.8195707530010914,0.7159054218499847
