dataset,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_macro_mean,f1_macro_std,f1_binary_mean,f1_binary_std
Celeb,0.8624903920061491,0.0005435102084446532,0.8640110697710821,0.00015341441796440318,0.9978643886812599,0.0005033684151532179,0.46694647590037475,0.0009459697955050026,0.9261262482200925,0.0003049299086127631
DFD,0.8931924882629108,0.0004149687683019116,0.8934546430077824,4.422597266404266e-05,0.999671592775041,0.00046443795151840644,0.4717916798097679,0.00011577795569918358,0.9435833596195358,0.00023155591139856343
DeepfakeTIMIT,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Overall,0.7254940379555506,0.004473104533061663,0.7676815051757042,0.000513646053782391,0.8850027324537435,0.007838954089194307,0.6102790142512382,0.0022778523750506662,0.8221710458545097,0.003677369419446051
WildDeepfake,0.5016406890894176,0.010247924365022434,0.4838106220319604,0.009300180478898495,0.5839270447420918,0.027405677469755006,0.499864424106533,0.009339676887085311,0.5291247491957918,0.016818355491830646
