dataset,accuracy,precision,recall,f1_macro,f1_binary,auc
Celeb,0.862413528055342,0.863944530046225,0.99786438868126,0.4663736505872619,0.9260880336939467,0.5082377309812683
DFD,0.8911384976525821,0.893235294117647,0.9973727422003285,0.4712179984484096,0.9424359968968192,0.49924773937313127
DeepfakeTIMIT,1.0,1.0,1.0,1.0,1.0,
WildDeepfake,0.49316379546076017,0.47820343461030385,0.6189797663151895,0.4879647341704313,0.5395603030679418,0.4986353469153283
Overall,0.721603314112971,0.7600212370586674,0.8940588648606449,0.5940126579286995,0.8216092118951108,0.7162553548076279
