dataset,accuracy,precision,recall,f1_macro,f1_binary,pred_real_count,pred_fake_count,TN,FP,FN,TP,prob_fake_mean,prob_fake_std,roc_auc,n_videos,roc_auc_excluding_fake_only,excluded_from_auc
Celeb,0.7309761721752498,0.8650688809209285,0.8158035237586759,0.5015970784471203,0.8397142333760762,1206,5299,171,715,1035,4584,0.6628137045260017,0.17943714543472794,0.5010738316506758,6505,,
DeepfakeTIMIT,0.9984276729559748,1.0,0.9984276729559748,0.4996066089693155,0.999213217938631,1,635,0,0,1,635,0.8698398145677159,0.0803482910994525,,636,,
DFD,0.8215962441314554,0.8936995153473344,0.9083743842364532,0.5007844573366999,0.9009771986970684,313,3095,34,329,279,2766,0.7186317496425844,0.13659756477451107,0.4907507678667553,3408,,
WildDeepfake,0.5463494667760459,0.5316539608882996,0.457110287831291,0.541021830684213,0.4915721728470732,4297,3017,2392,1413,1905,1604,0.42992144902479124,0.3091991556959317,0.5714019028973367,7314,,
Overall,0.68219224094497,0.7960318778017599,0.7486142556015302,0.6246900924266088,0.771595252464293,5817,12046,2597,2457,3220,9589,0.585476333816042,0.27019865925520986,0.6447892783405417,17863,0.6447892783405417,DeepfakeTIMIT
