dataset,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_macro_mean,f1_macro_std,f1_binary_mean,f1_binary_std
Celeb,0.8623366641045349,0.00010870204168883644,0.863990146940794,6.451203097290264e-05,0.997686421071365,0.0002516842075766286,0.4668959931311254,0.0007387039097362516,0.9260375737609003,7.136112167056858e-05
DFD,0.8909917840375587,0.00020748438415097543,0.8932195888063963,2.2210664171947426e-05,0.9972085385878491,0.00023221897575910507,0.4711769694290465,5.8023795634094785e-05,0.942353938858093,0.00011604759126818957
DeepfakeTIMIT,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Overall,0.7221911213122096,0.0008312849132237631,0.7651313449515666,0.00722678388732789,0.8841049262237489,0.014076995019327848,0.6040019287099941,0.014126962217124155,0.8202611992335935,0.0019063777881682931
WildDeepfake,0.49473612250478527,0.0022236062301464344,0.47820507969618553,2.3265027651673587e-06,0.5830721003134796,0.05078110825278133,0.49192880335402034,0.005606040401616873,0.5249635646121209,0.020642905490634914
