dataset,accuracy,precision,recall,f1_macro,f1_binary,n_videos
Celeb,0.7309761721752498,0.8650688809209285,0.8158035237586759,0.5015970784471203,0.8397142333760762,6505
DeepfakeTIMIT,0.9984276729559748,1.0,0.9984276729559748,0.4996066089693155,0.999213217938631,636
DFD,0.8215962441314554,0.8936995153473344,0.9083743842364532,0.5007844573366999,0.9009771986970684,3408
WildDeepfake,0.5463494667760459,0.5316539608882996,0.457110287831291,0.541021830684213,0.4915721728470732,7314
Overall,0.68219224094497,0.7960318778017599,0.7486142556015302,0.6246900924266088,0.771595252464293,17863
