dataset,accuracy,precision,recall,f1_macro,f1_binary,auc
Celeb,0.8622598001537279,0.8640357638353631,0.99750845346147,0.4674183356749889,0.9259871138278539,0.5099689982833959
DFD,0.8908450704225352,0.8932038834951457,0.9970443349753695,0.4711359404096835,0.942271880819367,0.49704116851452274
DeepfakeTIMIT,1.0,1.0,1.0,1.0,1.0,
WildDeepfake,0.4963084495488105,0.47820672478206727,0.5471644343117698,0.4958928725376094,0.5103668261562999,0.4974018751856031
Overall,0.7227789285114482,0.7702414528444659,0.874150987586853,0.6139911994912888,0.8189131865720763,0.724526028409919
