dataset,accuracy,precision,recall,f1_macro,f1_binary,auc
Celeb,0.8637970791698694,0.8637970791698694,1.0,0.46346090399208184,0.9269218079841637,0.5138404968309311
DFD,0.8934859154929577,0.8934859154929577,1.0,0.47187354718735475,0.9437470943747095,0.4906078247771038
DeepfakeTIMIT,1.0,1.0,1.0,1.0,1.0,
WildDeepfake,0.5225594749794914,0.5018027571580064,0.6742661726987745,0.5150524538408631,0.5753891050583657,0.5327192812624867
Overall,0.734591054134244,0.7642819706498952,0.9107658677492388,0.6058116230160966,0.8311188686638408,0.7356593524110888
