dataset,accuracy,precision,recall,f1_macro,f1_binary,auc
Celeb,0.8637970791698694,0.8637970791698694,1.0,0.46346090399208184,0.9269218079841637,0.5027789863238119
DFD,0.8934859154929577,0.8934859154929577,1.0,0.47187354718735475,0.9437470943747095,0.48628741512754053
DeepfakeTIMIT,1.0,1.0,1.0,1.0,1.0,
WildDeepfake,0.5200984413453651,0.4998888641920427,0.6409233399829011,0.5157384156628869,0.5616883116883117,0.5272606689237999
Overall,0.7335833846498349,0.7674774056353004,0.9016316652353814,0.6121924913684107,0.8291632264780845,0.7268342945451363
