dataset,accuracy,precision,recall,f1_macro,f1_binary
Celeb,0.13620292083013066,0.0,0.0,0.11987552428629412,0.0
DeepfakeTIMIT,0.0,0.0,0.0,0.0,0.0
DFD,0.10651408450704225,0.0,0.0,0.09626093874303898,0.0
WildDeepfake,0.5202351654361499,0.0,0.0,0.34220703300656535,0.0
Overall,0.28293119856687005,0.0,0.0,0.22053497403674127,0.0
