dataset,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_macro_mean,f1_macro_std,f1_binary_mean,f1_binary_std
Celeb,0.8626441199077632,0.001630530625334038,0.8638639823495136,9.461538401858703e-05,0.9983093077059975,0.002390999971977952,0.4653165078993752,0.002624220212086879,0.926232575754746,0.0009747215664670255
DFD,0.8934859154929577,0.0,0.8934859154929577,0.0,1.0,0.0,0.4718735471873547,0.0,0.9437470943747096,0.0
DeepfakeTIMIT,0.9992138364779874,0.0011118031150732662,1.0,0.0,0.9992138364779874,0.0011118031150732662,0.7498033044846577,0.3538315600587288,0.9996066089693154,0.0005563389309100728
Overall,0.7348149806863349,0.0017417398181832871,0.774494128527166,0.009923144677090231,0.889374658443282,0.017334025239485996,0.6247251651178595,0.017723877189267725,0.8278609952511813,0.0018416330624322684
WildDeepfake,0.5242001640689089,0.005800711904729684,0.5037746060768056,0.005495268873312846,0.5990310629809062,0.05924462629491158,0.5220108217554942,0.008870521764876705,0.5464691558441559,0.02152313660267486
