dataset,accuracy,precision,recall,f1_macro,f1_binary,auc
Celeb,0.8628747117601845,0.8641195501463564,0.99822032390105,0.46761537755757404,0.9263418662262592,0.5111317133058307
DFD,0.8934859154929577,0.8934859154929577,1.0,0.47187354718735475,0.9437470943747095,0.498001963205725
DeepfakeTIMIT,1.0,1.0,1.0,1.0,1.0,
WildDeepfake,0.5088870659010117,0.4903868427148483,0.6033057851239669,0.5064685729674823,0.5410171224124712,0.5095161344078994
Overall,0.7286570005038348,0.7680447077834635,0.8905457100476227,0.6118896991121785,0.8247713387079281,0.7243045542986244
